Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1766848875.435134,66686,2,1
2,Payment,1766848875.435134,59516,0,1
1,NewOrder,1766848875.438497,140626,3,1
4,Delivery,1766848875.439608,151703,1,1
5,StockLevel,1766848875.494882,14177,0,1
1,NewOrder,1766848875.501893,48408,2,1
2,Payment,1766848875.509100,15000,0,1
1,NewOrder,1766848875.524142,44989,0,1
1,NewOrder,1766848875.550470,62775,2,1
2,Payment,1766848875.569174,21886,0,1
2,Payment,1766848875.579175,19542,3,1
1,NewOrder,1766848875.591095,32114,0,1
2,Payment,1766848875.591347,18212,1,1
2,Payment,1766848875.598754,18790,3,1
1,NewOrder,1766848875.609617,45603,1,1
2,Payment,1766848875.613283,21103,2,1
2,Payment,1766848875.617581,13650,3,1
3,OrderStatus,1766848875.623248,21246,0,1
3,OrderStatus,1766848875.631279,16205,3,1
3,OrderStatus,1766848875.634408,11253,2,1
2,Payment,1766848875.644530,19578,0,1
2,Payment,1766848875.645684,13448,2,1
2,Payment,1766848875.647518,16689,3,1
2,Payment,1766848875.655263,19281,1,1
2,Payment,1766848875.659167,20404,2,1
3,OrderStatus,1766848875.664149,7515,0,1
2,Payment,1766848875.664238,20012,3,1
2,Payment,1766848875.671709,32474,0,1
1,NewOrder,1766848875.674582,51715,1,1
2,Payment,1766848875.679627,13268,2,1
2,Payment,1766848875.684291,14669,3,1
1,NewOrder,1766848875.692930,34906,2,1
2,Payment,1766848875.698997,14298,3,1
2,Payment,1766848875.704227,13123,0,1
1,NewOrder,1766848875.713323,55124,3,1
2,Payment,1766848875.717396,24105,0,1
5,StockLevel,1766848875.726330,9093,1,1
4,Delivery,1766848875.727861,74938,2,1
1,NewOrder,1766848875.735452,32996,1,1
1,NewOrder,1766848875.741722,28173,0,1
2,Payment,1766848875.768480,11557,3,1
2,Payment,1766848875.768481,10616,1,1
2,Payment,1766848875.769917,11229,0,1
1,NewOrder,1766848875.779133,18327,1,1
1,NewOrder,1766848875.780056,26610,3,1
5,StockLevel,1766848875.781169,4827,0,1
1,NewOrder,1766848875.786112,30113,0,1
2,Payment,1766848875.797497,11245,1,1
3,OrderStatus,1766848875.802919,7598,2,1
2,Payment,1766848875.806707,13220,3,1
1,NewOrder,1766848875.808777,32646,1,1
1,NewOrder,1766848875.810543,29485,2,1
1,NewOrder,1766848875.816268,37569,0,1
1,NewOrder,1766848875.819971,35380,3,1
2,Payment,1766848875.840072,13648,2,1
1,NewOrder,1766848875.841448,49516,1,1
2,Payment,1766848875.853856,16353,2,1
2,Payment,1766848875.853878,21378,0,1
1,NewOrder,1766848875.855414,34001,3,1
2,Payment,1766848875.870444,16480,2,1
1,NewOrder,1766848875.875308,34810,0,1
1,NewOrder,1766848875.887055,22585,2,1
1,NewOrder,1766848875.889458,24052,3,1
2,Payment,1766848875.890995,9378,1,1
2,Payment,1766848875.900422,11143,1,1
1,NewOrder,1766848875.909694,22958,2,1
1,NewOrder,1766848875.910166,22412,0,1
1,NewOrder,1766848875.911602,29903,1,1
2,Payment,1766848875.913554,11511,3,1
2,Payment,1766848875.925114,13804,3,1
1,NewOrder,1766848875.932627,36766,0,1
1,NewOrder,1766848875.932669,28144,2,1
1,NewOrder,1766848875.938979,21777,3,1
1,NewOrder,1766848875.941553,34531,1,1
2,Payment,1766848875.960813,13317,3,1
2,Payment,1766848875.960847,11156,2,1
1,NewOrder,1766848875.969434,51445,0,1
2,Payment,1766848875.972041,13500,2,1
2,Payment,1766848875.974174,16951,3,1
2,Payment,1766848875.976121,26565,1,1
2,Payment,1766848875.985586,19651,2,1
2,Payment,1766848875.991168,19019,3,1
1,NewOrder,1766848876.002737,48416,1,1
1,NewOrder,1766848876.005287,45874,2,1
1,NewOrder,1766848876.010232,40969,3,1
1,NewOrder,1766848876.020941,32734,0,1
2,Payment,1766848876.051201,10053,2,1
1,NewOrder,1766848876.051209,41579,1,1
2,Payment,1766848876.051246,11358,3,1
1,NewOrder,1766848876.055669,31141,0,1
1,NewOrder,1766848876.061307,27825,2,1
2,Payment,1766848876.062627,14594,3,1
1,NewOrder,1766848876.077366,44793,3,1
3,OrderStatus,1766848876.086871,6880,0,1
1,NewOrder,1766848876.089179,30165,2,1
5,StockLevel,1766848876.092909,5271,1,1
1,NewOrder,1766848876.093783,51638,0,1
4,Delivery,1766848876.098231,97634,1,1
2,Payment,1766848876.119389,13603,2,1
2,Payment,1766848876.122194,18854,3,1
1,NewOrder,1766848876.133038,54369,2,1
2,Payment,1766848876.141127,14287,3,1
2,Payment,1766848876.145484,24050,0,1
2,Payment,1766848876.155469,17336,3,1
1,NewOrder,1766848876.169590,28882,0,1
3,OrderStatus,1766848876.172864,7462,3,1
2,Payment,1766848876.180372,24711,3,1
2,Payment,1766848876.187467,26625,2,1
1,NewOrder,1766848876.195922,27435,1,1
1,NewOrder,1766848876.198530,48842,0,1
1,NewOrder,1766848876.205126,39729,3,1
2,Payment,1766848876.214143,12702,2,1
2,Payment,1766848876.223418,11455,1,1
2,Payment,1766848876.226973,12550,2,1
1,NewOrder,1766848876.234916,38366,1,1
1,NewOrder,1766848876.239559,29327,2,1
2,Payment,1766848876.244905,18715,3,1
2,Payment,1766848876.247420,12528,0,1
1,NewOrder,1766848876.259992,44017,0,1
1,NewOrder,1766848876.264156,25326,3,1
2,Payment,1766848876.268925,10609,2,1
2,Payment,1766848876.273325,10100,1,1
1,NewOrder,1766848876.279575,42535,2,1
2,Payment,1766848876.283478,21406,1,1
1,NewOrder,1766848876.289526,32711,3,1
2,Payment,1766848876.304082,14764,0,1
2,Payment,1766848876.304918,14245,1,1
2,Payment,1766848876.318972,11256,0,1
2,Payment,1766848876.319209,14976,1,1
2,Payment,1766848876.322158,19438,2,1
2,Payment,1766848876.322283,14925,3,1
1,NewOrder,1766848876.330348,43809,0,1
1,NewOrder,1766848876.334245,31098,1,1
1,NewOrder,1766848876.337269,39968,3,1
