Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.000,95.205,37.760,73.975,84.297,111.938,151.703,158.900,174.294,174.294,0.011
5,9.600,65.386,34.254,54.930,61.185,67.888,78.033,128.748,207.629,207.629,0.015
10,5.800,71.553,52.472,63.081,67.007,72.726,79.685,87.234,196.048,196.048,0.014
15,7.200,65.474,31.373,55.877,59.796,69.410,79.333,177.178,181.980,181.980,0.015
20,9.600,59.590,37.850,53.670,58.143,66.378,76.024,78.177,81.690,81.690,0.017
25,5.600,79.724,38.878,62.670,69.875,78.157,102.993,221.941,233.394,233.394,0.013
30,7.000,64.661,44.712,55.018,59.531,72.848,81.297,102.282,126.816,126.816,0.015
35,5.200,94.989,50.016,66.177,73.063,91.096,161.536,233.912,344.090,344.090,0.011
40,5.600,69.212,50.247,63.727,69.533,74.925,82.752,83.206,92.961,92.961,0.014
45,7.000,71.097,37.986,60.063,68.916,77.187,87.801,111.413,153.934,153.934,0.014
50,7.600,71.438,45.124,63.155,69.095,79.154,89.511,96.589,99.167,99.167,0.014
55,8.200,76.687,29.226,55.087,64.783,93.581,136.987,160.592,185.496,185.496,0.013
60,2.800,190.023,69.738,92.537,103.983,159.831,603.658,745.098,745.098,745.098,0.005
65,5.600,69.331,48.928,60.269,67.984,82.813,89.359,94.973,100.808,100.808,0.014
70,3.600,117.604,61.956,72.213,87.663,131.304,183.169,445.994,445.994,445.994,0.009
75,8.000,76.019,36.774,60.378,75.423,89.506,105.706,115.624,168.641,168.641,0.013
80,6.400,77.056,41.144,59.573,70.906,81.451,94.014,168.893,182.338,182.338,0.013
85,8.000,71.276,34.377,60.208,66.889,78.765,92.250,148.353,192.864,192.864,0.014
90,6.200,74.607,34.684,61.808,71.853,89.001,93.943,112.205,166.280,166.280,0.013
95,7.200,76.970,54.722,68.215,75.423,83.311,94.867,107.692,129.963,129.963,0.013
100,7.000,76.497,51.346,62.786,71.681,81.852,92.798,154.157,165.236,165.236,0.013
105,8.000,71.741,37.746,61.383,67.653,76.903,92.208,117.033,174.337,174.337,0.014
110,8.600,65.691,46.606,59.646,63.754,71.247,81.085,84.416,116.781,116.781,0.015
115,6.200,70.919,39.003,53.828,60.654,68.820,96.680,166.987,189.801,189.801,0.014
120,7.200,84.231,51.866,58.052,70.843,80.647,86.323,183.232,509.278,509.278,0.012
125,9.200,64.307,32.959,51.614,58.287,66.611,80.705,104.840,213.769,213.769,0.016
130,6.000,63.074,46.832,51.986,58.089,65.756,82.547,110.232,143.865,143.865,0.016
135,8.200,60.312,35.632,54.451,60.110,66.459,75.390,79.218,82.700,82.700,0.017
140,6.800,69.641,46.716,56.004,61.372,68.482,73.140,146.555,195.271,195.271,0.014
145,9.200,56.613,27.296,49.143,58.311,64.788,71.387,77.670,80.849,80.849,0.018
150,6.600,64.152,47.987,53.486,58.683,65.775,72.313,132.603,156.474,156.474,0.016
155,8.200,78.819,37.221,58.781,68.726,85.520,130.925,154.975,169.164,169.164,0.013
160,5.400,79.781,46.247,57.966,67.121,100.939,136.018,139.561,146.126,146.126,0.013
165,6.200,99.984,43.279,53.442,65.004,96.127,146.115,335.996,520.516,520.516,0.010
170,9.000,63.760,42.429,57.614,61.256,67.431,82.374,88.857,90.107,90.107,0.016
175,10.000,58.278,34.603,52.525,57.986,63.197,75.969,79.806,86.913,86.913,0.017
