Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,58.800,39.652,14.473,27.359,35.597,47.450,57.720,71.456,140.626,183.513,0.025
5,83.800,28.497,11.216,21.469,25.889,32.882,38.633,42.709,67.856,170.067,0.035
10,75.200,32.624,14.677,26.175,31.669,38.331,43.467,48.159,59.993,139.087,0.031
15,93.800,27.024,9.457,19.338,25.348,32.427,37.970,41.801,102.433,152.042,0.037
20,84.800,27.866,11.528,21.440,25.863,31.681,36.011,41.553,54.050,185.462,0.036
25,75.200,34.212,11.125,24.010,29.600,35.935,42.173,46.086,362.263,392.158,0.029
30,70.000,33.225,13.399,22.734,28.959,35.636,45.858,61.386,143.002,201.849,0.030
35,60.600,41.482,14.568,25.812,32.501,39.756,63.191,102.475,216.407,283.302,0.024
40,80.000,33.127,13.997,25.896,31.371,37.595,43.200,49.206,99.630,142.403,0.030
45,70.200,34.330,12.052,25.045,30.744,37.891,47.678,59.893,110.660,134.899,0.029
50,73.600,34.336,13.179,26.111,32.818,39.484,47.736,51.605,98.886,125.032,0.029
55,69.400,33.614,9.440,21.395,29.711,37.475,48.682,67.866,145.933,200.318,0.030
60,34.000,78.108,18.986,34.511,47.375,87.883,148.330,261.866,603.006,620.518,0.013
65,69.600,38.747,15.204,26.500,33.543,42.967,61.698,78.707,128.898,216.380,0.026
70,50.800,49.394,16.816,29.698,37.353,48.680,74.170,122.005,273.920,411.853,0.020
75,66.400,33.859,12.270,23.696,31.318,39.565,49.095,56.556,116.257,134.849,0.030
80,79.800,31.634,12.320,24.258,29.509,36.724,44.502,50.572,94.857,124.283,0.032
85,72.800,33.555,12.059,25.489,31.272,38.590,45.366,51.459,99.024,178.517,0.030
90,74.000,34.921,12.066,25.104,32.982,40.023,46.302,52.550,126.174,183.240,0.029
95,67.600,35.655,14.960,27.752,33.065,40.938,48.505,54.938,91.301,116.933,0.028
100,70.800,34.659,17.054,26.644,32.886,40.066,49.187,53.214,63.247,151.238,0.029
105,72.400,34.189,12.935,24.051,31.612,38.552,47.180,55.322,128.210,138.527,0.029
110,83.000,30.322,12.707,23.095,29.057,34.222,40.633,45.440,60.075,161.406,0.033
115,88.000,28.337,10.876,21.251,27.062,32.698,38.164,41.441,78.550,174.658,0.035
120,73.600,32.104,13.292,23.160,29.235,35.668,43.458,48.000,116.794,480.324,0.031
125,84.200,28.399,10.548,21.266,25.809,31.183,37.244,40.634,106.641,179.258,0.035
130,85.200,30.536,13.702,22.978,28.580,34.456,41.185,47.532,98.588,135.573,0.033
135,89.600,27.576,11.435,20.175,25.003,32.010,39.039,45.265,89.915,100.984,0.036
140,82.800,30.304,13.216,22.396,28.094,32.975,39.744,46.920,127.016,183.046,0.033
145,89.400,27.731,9.839,20.835,26.684,31.454,36.880,40.275,89.141,168.879,0.036
150,85.600,28.410,12.791,21.238,26.499,31.153,36.143,39.455,122.714,263.724,0.035
155,76.400,32.512,11.297,21.636,28.337,36.824,52.227,69.463,98.004,124.243,0.031
160,61.600,40.888,13.490,24.958,33.814,49.739,74.099,88.080,114.448,134.051,0.024
165,66.000,39.929,13.739,23.101,29.359,40.013,65.636,101.048,250.078,312.963,0.025
170,91.200,27.600,10.694,20.568,26.106,32.452,40.121,43.938,58.160,65.015,0.036
175,97.800,25.578,10.712,19.851,24.544,30.578,36.186,40.184,48.530,55.775,0.039
