Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.600,6.577,3.049,3.707,5.830,7.515,11.253,16.205,21.246,21.246,0.152
5,6.400,3.867,1.840,2.798,3.396,4.541,5.319,7.854,11.447,11.447,0.259
10,6.400,3.654,1.960,2.636,3.821,4.527,4.957,5.974,6.379,6.379,0.274
15,7.800,3.142,1.331,2.483,3.062,3.794,4.423,4.791,6.027,6.027,0.318
20,7.200,3.447,1.799,2.692,3.439,4.059,4.530,5.641,6.235,6.235,0.290
25,5.200,3.785,1.874,2.831,3.764,4.332,5.188,6.534,6.825,6.825,0.264
30,7.600,4.402,1.886,2.850,3.924,5.127,6.415,12.529,15.988,15.988,0.227
35,7.000,3.456,1.628,2.345,3.027,3.835,5.403,8.137,9.019,9.019,0.289
40,6.200,3.847,1.553,3.301,3.905,4.361,5.093,5.269,6.493,6.493,0.260
45,5.400,4.581,1.441,2.698,3.502,5.883,9.854,9.947,13.249,13.249,0.218
50,6.600,3.705,1.739,2.482,3.328,3.982,5.912,7.525,8.901,8.901,0.270
55,6.000,3.413,1.314,2.172,2.920,4.202,5.457,5.888,11.957,11.957,0.293
60,2.000,4.605,1.850,2.273,4.203,5.265,11.308,11.308,11.308,11.308,0.217
65,8.800,3.709,1.861,2.733,3.292,4.044,5.594,5.868,13.485,13.485,0.270
70,4.400,5.806,1.946,3.079,3.417,4.697,7.836,8.115,44.950,44.950,0.172
75,6.600,3.690,1.584,2.441,2.934,4.259,7.291,7.547,9.552,9.552,0.271
80,6.400,3.879,1.569,2.377,3.303,4.446,6.019,9.560,11.667,11.667,0.258
85,6.200,3.597,1.551,2.742,3.319,4.334,5.701,6.502,8.083,8.083,0.278
90,7.000,3.912,1.565,2.864,4.023,4.774,5.917,7.146,7.162,7.162,0.256
95,5.400,3.416,1.552,2.593,3.336,4.340,4.847,5.251,6.204,6.204,0.293
100,7.400,4.115,1.562,2.724,3.462,4.711,6.017,8.535,16.953,16.953,0.243
105,5.800,3.541,1.535,2.243,2.890,3.661,7.274,8.228,11.097,11.097,0.282
110,8.200,3.516,1.409,2.598,3.162,4.402,5.630,6.867,7.525,7.525,0.284
115,8.000,2.932,1.771,2.281,2.647,3.406,4.261,6.060,6.935,6.935,0.341
120,5.000,4.820,1.683,2.577,3.053,3.882,4.698,8.223,41.026,41.026,0.207
125,6.800,2.766,1.489,1.900,2.331,3.409,4.341,5.225,8.013,8.013,0.361
130,8.000,3.593,1.770,2.476,3.405,4.560,5.082,6.583,9.112,9.112,0.278
135,6.200,2.996,1.420,2.041,2.650,3.607,4.718,5.195,7.951,7.951,0.334
140,7.800,3.135,1.801,2.430,2.803,3.615,4.302,6.421,6.533,6.533,0.319
145,7.600,3.075,1.246,2.054,2.537,3.467,5.383,6.175,14.043,14.043,0.325
150,7.000,2.895,1.614,2.254,2.759,3.613,3.842,4.576,4.914,4.914,0.345
155,5.800,2.930,1.601,2.031,2.326,2.785,7.453,7.892,8.158,8.158,0.341
160,5.200,6.446,1.571,2.441,3.062,4.484,25.993,29.083,29.741,29.741,0.155
165,8.200,5.880,1.586,2.442,2.939,4.016,11.267,14.859,70.820,70.820,0.170
170,6.000,3.429,1.587,2.095,3.177,4.004,5.139,7.075,10.854,10.854,0.292
175,9.200,3.258,1.410,2.077,2.877,3.827,4.816,6.559,10.707,10.707,0.307
