Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,64.000,16.241,6.690,11.455,14.406,17.959,23.747,28.062,59.516,96.979,0.062
5,75.600,12.485,5.420,8.863,10.791,13.042,15.808,17.026,97.628,151.068,0.080
10,82.800,12.696,6.117,9.495,11.318,13.475,16.805,19.964,35.004,120.966,0.079
15,81.600,11.811,4.334,8.539,10.438,12.450,15.317,17.090,33.824,142.916,0.085
20,89.600,10.959,5.336,8.768,10.269,11.823,14.986,16.554,24.490,127.304,0.091
25,66.600,14.151,5.496,8.919,11.062,13.878,16.360,19.372,30.613,386.298,0.071
30,85.000,13.856,6.300,9.707,11.375,13.685,17.456,22.873,60.526,197.554,0.072
35,59.400,15.685,5.358,9.626,11.753,15.245,22.590,35.580,104.790,136.076,0.064
40,72.600,12.731,5.933,9.471,11.491,14.459,17.155,19.644,36.778,98.535,0.079
45,70.600,14.490,5.030,9.827,11.658,14.046,17.744,20.802,116.783,136.901,0.069
50,71.200,12.508,6.258,10.049,12.042,14.088,17.354,18.953,24.358,33.609,0.080
55,74.400,13.643,4.170,8.721,11.113,14.133,18.876,26.290,105.563,124.153,0.073
60,33.800,22.063,6.551,12.257,15.066,25.035,39.486,60.132,89.827,125.523,0.045
65,57.800,14.682,5.598,9.657,11.637,14.760,20.111,28.401,88.341,95.613,0.068
70,51.000,19.872,7.394,10.895,13.412,17.891,31.049,57.567,144.537,158.195,0.050
75,73.600,14.864,5.442,9.406,11.443,14.383,18.624,24.661,114.396,124.848,0.067
80,72.000,12.808,5.707,9.793,11.852,14.303,17.633,20.004,29.924,109.004,0.078
85,72.000,13.077,5.222,10.000,12.039,14.078,17.205,20.194,52.192,95.212,0.076
90,70.400,13.228,6.379,10.097,11.968,14.356,16.975,18.870,27.280,120.752,0.076
95,67.800,14.651,6.093,10.109,12.206,14.876,18.940,22.746,93.319,144.334,0.068
100,71.600,12.693,7.021,9.961,11.951,14.278,18.027,20.804,25.059,27.817,0.079
105,68.000,13.194,5.465,9.453,11.491,13.519,16.228,19.656,95.022,126.320,0.076
110,75.000,11.570,5.439,9.437,11.153,12.991,15.388,17.462,22.828,36.966,0.086
115,85.400,11.909,5.096,8.566,10.139,12.067,14.324,16.586,95.925,124.272,0.084
120,70.400,15.021,6.333,9.197,10.681,12.862,15.456,17.724,30.838,613.141,0.067
125,77.400,11.534,4.401,8.326,10.201,12.374,14.695,16.764,81.369,108.851,0.087
130,77.600,12.740,6.110,9.282,10.917,13.207,15.302,16.943,106.292,130.958,0.078
135,81.000,11.767,4.535,8.601,10.317,12.375,15.352,18.441,59.471,99.659,0.085
140,82.000,12.064,6.089,9.121,10.461,12.602,15.565,19.378,51.789,101.730,0.083
145,81.400,11.347,5.519,8.580,10.395,12.406,14.689,18.744,24.277,103.863,0.088
150,86.800,12.552,5.117,8.618,9.963,12.115,14.816,16.627,79.937,242.561,0.080
155,65.800,12.745,4.847,8.526,10.449,12.893,17.820,21.793,71.876,100.414,0.078
160,62.000,15.702,5.511,8.945,11.155,16.889,32.391,39.566,56.488,60.953,0.064
165,57.000,12.272,4.394,7.869,9.089,11.759,18.584,25.433,87.069,114.305,0.081
170,90.400,9.199,4.779,7.195,8.442,10.582,12.704,15.029,20.291,30.530,0.109
175,96.800,8.723,4.312,7.088,8.298,10.003,11.763,13.105,17.675,23.154,0.115
