Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.000,5.068,2.669,3.725,4.463,5.267,8.944,9.093,14.177,14.177,0.197
5,6.200,2.993,1.955,2.495,2.918,3.249,3.765,4.025,5.403,5.403,0.334
10,8.000,3.498,1.947,2.608,3.461,4.372,4.976,5.422,5.730,5.730,0.286
15,6.400,3.062,1.738,2.620,3.089,3.585,3.846,3.907,4.417,4.417,0.327
20,9.400,2.769,1.766,2.239,2.546,3.155,4.206,4.567,5.151,5.151,0.361
25,5.800,3.227,1.990,2.473,3.092,3.730,4.865,5.539,5.795,5.795,0.310
30,4.800,3.158,2.177,2.453,2.903,3.482,4.499,4.915,6.338,6.338,0.317
35,6.400,3.417,1.829,2.355,3.185,4.041,5.409,7.147,8.232,8.232,0.293
40,7.200,3.091,1.854,2.563,2.987,3.423,4.280,4.489,5.063,5.063,0.324
45,6.600,3.256,1.968,2.503,3.201,3.863,4.246,4.572,4.648,4.648,0.307
50,3.600,3.005,2.003,2.445,2.934,3.160,4.395,5.904,5.904,5.904,0.333
55,6.800,3.370,1.620,2.140,2.850,3.815,4.226,7.912,14.811,14.811,0.297
60,4.600,9.918,2.107,3.468,5.230,13.651,28.444,29.449,31.314,31.314,0.101
65,6.200,3.083,1.863,2.487,2.764,3.234,4.208,4.624,9.047,9.047,0.324
70,5.800,3.917,2.334,2.972,3.336,4.704,6.467,7.269,7.586,7.586,0.255
75,6.200,3.323,1.892,2.517,2.908,3.648,4.822,5.907,7.060,7.060,0.301
80,5.800,3.694,2.110,2.708,2.992,3.879,5.777,9.476,9.565,9.565,0.271
85,6.400,3.257,2.211,2.570,3.145,3.710,4.602,4.898,5.235,5.235,0.307
90,8.600,3.259,1.912,2.439,3.001,3.489,4.544,6.122,7.425,7.425,0.307
95,6.000,3.268,2.187,2.707,3.198,3.759,4.473,4.740,4.926,4.926,0.306
100,5.600,3.043,1.432,2.623,2.869,3.396,4.918,5.234,5.406,5.406,0.329
105,9.000,3.372,1.585,2.397,2.957,4.124,5.107,5.471,9.380,9.380,0.297
110,5.800,3.388,1.714,2.384,3.084,4.090,5.708,6.018,6.259,6.259,0.295
115,6.400,2.815,1.627,2.291,2.616,3.244,4.143,4.674,6.020,6.020,0.355
120,6.000,3.083,1.957,2.499,2.812,3.327,5.033,5.712,6.121,6.121,0.324
125,7.200,2.806,1.672,2.347,2.684,3.171,3.704,4.516,4.598,4.598,0.356
130,10.200,3.207,1.681,2.390,3.006,3.758,4.097,6.137,7.082,7.082,0.312
135,7.200,2.874,1.929,2.374,2.683,3.250,3.814,4.219,6.733,6.733,0.348
140,9.000,2.810,1.734,2.275,2.666,3.182,3.697,3.858,5.034,5.034,0.356
145,9.000,2.819,1.468,2.285,2.656,3.504,3.794,3.883,5.167,5.167,0.355
150,8.600,2.895,1.841,2.362,2.727,3.283,3.437,4.931,5.530,5.530,0.345
155,6.600,3.569,1.784,2.107,2.513,3.376,6.147,7.163,22.050,22.050,0.280
160,6.200,4.494,1.785,2.751,3.008,3.609,8.742,15.435,17.244,17.244,0.223
165,3.200,3.950,1.782,2.765,3.484,4.411,4.634,13.094,13.094,13.094,0.253
170,10.800,2.933,1.727,2.291,2.614,3.459,4.154,4.964,5.630,5.630,0.341
175,7.400,2.865,1.914,2.400,2.780,3.201,3.614,4.218,4.812,4.812,0.349
