Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,139.400,28.726,2.669,13.174,21.378,36.044,54.684,73.975,136.439,183.513,0.035
5,181.600,22.043,1.840,10.268,17.364,28.074,38.644,56.552,97.816,207.629,0.045
10,178.200,22.284,1.947,10.335,16.233,31.617,40.894,49.413,77.370,196.048,0.045
15,196.800,20.397,1.331,9.862,15.721,27.050,36.177,45.331,102.450,181.980,0.049
20,200.600,19.780,1.766,9.529,15.170,26.379,34.981,50.555,72.848,185.462,0.051
25,158.400,25.253,1.874,10.428,18.867,31.004,40.095,50.345,221.941,392.158,0.040
30,174.400,22.963,1.886,10.467,15.988,29.296,41.584,58.663,124.887,201.849,0.044
35,138.600,28.755,1.628,10.642,20.521,34.002,57.051,79.924,213.679,344.090,0.035
40,171.600,23.357,1.553,10.845,19.326,32.486,41.247,52.855,82.752,142.403,0.043
45,159.800,24.887,1.441,10.943,18.470,32.093,46.027,65.423,116.272,153.934,0.040
50,162.600,24.575,1.739,11.414,18.953,34.082,45.987,57.280,87.054,125.032,0.041
55,164.800,24.394,1.314,10.180,15.964,31.229,45.754,66.645,145.257,200.318,0.041
60,77.200,51.662,1.850,13.726,29.366,59.513,101.761,152.249,603.006,745.098,0.019
65,148.000,26.929,1.861,10.865,20.651,35.350,56.101,72.477,100.808,216.380,0.037
70,115.600,34.553,1.946,11.969,23.754,39.926,64.344,114.373,266.666,445.994,0.029
75,160.800,24.847,1.584,10.440,17.647,33.779,49.358,73.876,115.624,168.641,0.040
80,170.400,23.392,1.569,11.214,18.447,30.972,42.208,53.376,94.014,182.338,0.043
85,165.400,24.170,1.551,11.145,17.845,32.469,44.812,60.680,93.685,192.864,0.041
90,166.200,24.268,1.565,10.907,17.610,33.691,43.621,58.999,116.368,183.240,0.041
95,154.000,25.947,1.552,11.409,20.367,34.738,48.822,68.215,102.853,144.334,0.039
100,162.400,24.296,1.432,11.060,19.484,33.542,46.057,56.785,87.238,165.236,0.041
105,163.200,24.493,1.535,10.607,17.134,33.429,46.728,64.141,121.515,174.337,0.041
110,180.600,22.136,1.409,10.610,17.379,30.308,39.711,53.684,76.617,161.406,0.045
115,194.000,20.577,1.627,9.574,15.230,27.937,35.727,44.166,108.252,189.801,0.049
120,162.200,25.089,1.683,10.013,17.315,30.266,42.419,55.326,116.794,613.141,0.040
125,184.800,21.183,1.489,9.627,16.596,27.593,37.496,53.910,104.840,213.769,0.047
130,187.000,21.552,1.681,10.091,16.640,29.543,39.065,51.065,105.196,143.865,0.046
135,192.200,20.592,1.420,9.828,16.109,26.641,37.806,53.297,82.700,100.984,0.049
140,188.400,21.347,1.734,9.853,16.074,28.551,36.801,51.685,101.730,195.271,0.047
145,196.600,20.205,1.246,9.587,15.780,27.678,36.190,47.299,77.670,168.879,0.049
150,194.600,20.504,1.614,9.318,15.249,26.871,34.454,46.300,126.539,263.724,0.049
155,162.800,24.628,1.601,9.899,18.714,31.279,53.963,69.463,105.743,169.164,0.041
160,140.400,28.379,1.571,9.950,22.036,36.785,60.741,80.149,114.448,146.126,0.035
165,140.600,28.560,1.586,8.778,19.051,33.078,55.664,82.559,213.443,520.516,0.035
170,207.400,19.165,1.587,7.836,13.932,26.815,38.154,50.573,70.126,90.107,0.052
175,221.200,17.992,1.410,7.724,12.968,25.189,34.413,45.232,63.747,86.913,0.056
