Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,146,146.000,4827,13648,21886,27551,34810,48842,55124,140626,151703
1,120,120.000,3326,15929,28363,33919,48147,65712,84515,127349,136439
2,100,100.000,3805,15891,25292,39315,51089,87221,122604,183513,183513
3,154,154.000,2669,12345,19886,25740,33484,50049,71456,111938,118515
4,177,177.000,2914,11041,17787,22788,29979,43607,62826,75743,78964
5,216,216.000,1840,10157,16432,18600,22944,34254,39834,66403,73841
6,163,163.000,2696,9615,15895,25862,28820,43630,67888,170067,207629
7,174,174.000,2111,9381,16424,21619,27342,37639,59960,120630,139166
8,160,160.000,2033,11623,22418,24800,33683,47144,62237,69876,83448
9,195,195.000,1955,10649,19543,20776,27798,35915,42864,68984,75375
10,155,155.000,2253,11257,21954,27090,33460,45780,73407,139087,196048
11,169,169.000,1960,10343,15357,22044,32226,42170,48281,73561,87234
12,196,196.000,2010,9771,13518,20351,31163,39467,48355,71146,79212
13,178,178.000,2307,9957,20111,22218,31306,42318,51968,72726,79685
14,193,193.000,1947,11428,16045,20655,30906,38436,42915,64688,67168
15,221,221.000,1738,8304,13567,18037,20009,31333,35901,109750,177178
16,199,199.000,1331,10701,16248,20125,28287,37790,45062,69410,79333
17,193,193.000,1709,10985,17345,20821,28181,37957,48097,64397,64718
18,178,178.000,2274,11206,20549,22258,30713,38479,42888,73755,79592
19,193,193.000,2195,8857,12344,21239,25249,35481,59796,142916,181980
20,191,191.000,1831,9774,16615,20783,28386,36875,58143,76024,78177
21,176,176.000,1850,11242,16638,22367,33160,41244,51532,77165,81690
22,169,169.000,2163,9818,17145,24166,27991,47355,58797,182755,185462
23,241,241.000,1799,7745,12181,16102,22719,29701,33586,57609,61487
24,226,226.000,1766,9412,13465,17557,24662,29764,37620,57676,80580
